Rank,Rank Number,Grade,Uploads,Subscribers,Year of Creation,Years active,Category,Country,Gender,Views,Name of the Channel
5th,5,80,3602,66039794,2010,8,Gaming,US,Male ,18693959254, PewDiePie 
6th,6,100,12669,61420772,2006,12,Music,IN,Group of People,47668128974, T-Series 
7th,7,50,132,41018944,2007,11,Entretainment,CA,Male ,593680636, Justin Bieber 
8th,8,90,822,39479999,2012,6,Music,BR,Group of People,19321475065, Canal KondZilla 
9th,9,60,137,34486775,2011,7,Entretainment,CL,Male ,3619135633, HolaSoyGerman. 
10th,10,80,185,34524999,2009,9,Entretainment,US,Group of People,6103408241, Dude Perfect 
11th,11,80,123,34283263,2009,9,CMusic,US,Male ,17811466645,JustinBieberVEVO 
13th,13,80,122,33995014,2006,12,CMusic,GB,Male ,14533343950,Ed Sheeran 
14th,14,100,2097,33685292,2016,2,Entretainment,US,Group of People,8628273839,5-Minute Crafts 
15th,15,100,36770,32938183,2007,11,Ventretainment,US,Group of People,26316273188,WWE 
16th,16,70,349,31348137,2013,5,Shows,BR,Male ,2575244512,whinderssonnunes 
17th,17,40,94,31249930,2008,10,CMusic,US,Female,354174709,Katy Perry 
18th,18,100,27335,31285666,2006,12,Comedy,IN,Group of People,22738842407,SET India 
19th,19,50,162,31039207,2006,12,CMusic,US,Female,219685289,Taylor Swift 
20th,20,70,778,30807559,2011,7,Gaming,ES,Male ,6873201931,elrubiusOMG 
21st,21,40,69,30559969,2005,13,Entretainment,BB,Female,55548581,Rihanna 
22nd,22,70,105,30532291,2007,11,CMusic,US,Male ,291019369,EminemMusic 
24th,24,80,569,29340535,2011,7,Gaming,SV,Male ,6965851973,Fernanfloo 
25th,25,80,1468,28911399,2013,5,Gaming,CL,Male ,7832289341,JuegaGerman 
26th,26,80,86,28131506,2009,9,CMusic,US,Female,15483085734,TaylorSwiftVEVO 
27th,27,50,157,28092264,2016,2,CMusic,US,Group of People,319298437,One Direction 
28th,28,80,9080,27786230,2006,12,Shows,US,Group of People,13414893801,TheEllenShow 
30th,30,80,125,26710806,2009,9,CMusic,US,Female,16252178494,KatyPerryVEVO 
31st,31,80,80,26651477,2009,9,CMusic,US,Male ,11329118176,EminemVEVO 
32nd,32,80,106,26582006,2009,9,CMusic,US,Female,13107307083,RihannaVEVO 
33rd,33,70,107,26091947,2007,11,CMusic,US,Female,277692740,Ariana Grande` 
34th,34,80,1278,25113650,2006,12,Entretainment,BR,Male ,4468406538,Felipe Neto 
35th,35,80,4713,23801358,2008,10,Gaming,ES,Male ,9373448467,VEGETTA777 
36th,36,80,859,23596535,2011,7,Gaming,CA,Male ,9886332221,VanossGaming 
37th,37,80,3064,23689172,2014,4,Entretainment,MX,Male ,5892301152,Badabun 
38th,38,70,171,23480106,2010,8,CMusic,GB,Group of People,8283649220,OneDirectionVEVO 
39th,39,80,1005,23444126,2005,13,Shows,US,Group of People,7611076835,Smosh 
40th,40,90,3411,23515678,2014,4,CMusic,IN,Group of People,11692962511,Zee Music Company 
41st,41,50,226,23153685,2005,13,CMusic,CO,Female,154674143,Shakira 
42nd,42,80,8762,22996637,2007,11,CMusic,NL,Group of People,13433303079,Spinnin' Records 
43rd,43,80,66,22440775,2006,12,CMusic,US,Male ,9591414483,Bruno Mars 
44th,44,80,1459,22357246,2012,6,CMusic,US,Group of People,7769171123,Trap Nation 
45th,45,50,571,22094062,2009,9,Shows,MX,Female,2285229394,Yuya 
46th,46,40,72,21807057,2014,4,Shows,US,Male ,14874086,Luis Fonsi 
