Rank Number,Grade,Uploads,Subscribers,Years active,Category,Country,Gender,Views
5,80,3602,66039794,8,5,1,1,18693959254
6,100,12669,61420772,12,1,2,2,47668128974
7,50,132,41018944,11,3,3,1,593680636
8,90,822,39479999,6,1,4,2,19321475065
9,60,137,34486775,7,3,5,1,3619135633
10,80,185,34524999,9,3,1,2,6103408241
11,80,123,34283263,9,2,1,1,17811466645
13,80,122,33995014,12,2,6,1,14533343950
14,100,2097,33685292,2,3,1,2,8628273839
15,100,36770,32938183,11,4,1,2,26316273188
16,70,349,31348137,5,6,4,1,2575244512
17,40,94,31249930,10,2,1,0,354174709
18,100,27335,31285666,12,7,2,2,22738842407
19,50,162,31039207,12,2,1,0,219685289
20,70,778,30807559,7,5,7,1,6873201931
21,40,69,30559969,13,3,8,0,55548581
22,70,105,30532291,11,2,1,1,291019369
24,80,569,29340535,7,5,9,1,6965851973
25,80,1468,28911399,5,5,5,1,7832289341
26,80,86,28131506,9,2,1,0,15483085734
27,50,157,28092264,2,2,1,2,319298437
28,80,9080,27786230,12,6,1,2,13414893801
30,80,125,26710806,9,2,1,0,16252178494
31,80,80,26651477,9,2,1,1,11329118176
32,80,106,26582006,9,2,1,0,13107307083
33,70,107,26091947,11,2,1,0,277692740
34,80,1278,25113650,12,3,4,1,4468406538
35,80,4713,23801358,10,5,7,1,9373448467
36,80,859,23596535,7,5,3,1,9886332221
37,80,3064,23689172,4,3,10,1,5892301152
38,70,171,23480106,8,2,6,2,8283649220
39,80,1005,23444126,13,6,1,2,7611076835
40,90,3411,23515678,4,2,2,2,11692962511
41,50,226,23153685,13,2,11,0,154674143
42,80,8762,22996637,11,2,12,2,13433303079
43,80,66,22440775,12,2,1,1,9591414483
44,80,1459,22357246,6,2,1,2,7769171123
45,50,571,22094062,9,6,10,0,2285229394
46,40,72,21807057,4,6,1,1,14874086
47,80,4198,21781864,6,5,1,1,10060311062
48,60,343,21241383,12,3,1,1,3869601277
49,80,3884,20297396,11,5,14,1,10036712793
50,80,2918,20210288,6,5,6,1,13567578193
51,80,2748,20223455,12,7,13,2,17377166326
52,50,150,19888201,12,2,1,2,211480457
53,80,142,19689444,9,2,1,0,14542921405
54,50,170,19654691,10,2,1,0,448783134
55,80,257,19665068,5,8,2,2,15226129396
56,80,1164,19639945,12,3,1,1,4495727307
57,80,6520,19272869,6,5,4,1,6731044321
58,80,81,19188163,8,2,1,0,9372662236
59,100,373,19388247,12,12,1,2,9863769726
60,80,189,19067526,3,2,1,1,3252314956
61,90,51,18867676,2,2,15,1,8757162498
62,90,2204,18822559,4,3,1,2,11936809860
63,80,54,18751946,9,2,1,1,9186413125
64,100,82776,18835713,13,6,2,2,20926197658
65,80,488,18742438,4,3,4,1,3581458502
67,60,416,18537125,8,6,1,0,2826887711
68,80,562,18495278,3,3,1,1,3987634685
69,80,446,18407328,9,2,1,1,9934893983
70,80,524,18200539,7,1,6,2,4918615193
71,80,1043,18116069,7,6,11,2,6130469814
72,50,39,18050983,7,2,11,1,111634713
73,40,13,17975429,10,2,6,0,173718989
75,80,533,17973258,6,6,10,1,2056680384
76,80,1724,17937462,11,3,1,2,7036423100
77,80,721,17875946,7,5,1,1,1290582936
78,80,4620,17782468,12,7,1,1,9678283462
79,90,24392,17720995,6,6,16,2,14048414228
80,30,1,17484815,0,2,11,1,610709
81,50,217,17374624,13,2,1,0,763039860
82,80,5480,17369304,7,9,1,2,13977439476
83,50,1543,17333100,12,2,1,2,535960688
84,60,192,17281571,7,6,4,2,1180170950
85,80,141,17266335,6,2,18,1,4675744198
86,100,30263,17214403,12,10,1,2,16663231175
87,80,1724,16990044,13,3,1,1,4246300432
88,80,277,16967826,10,2,17,2,3450811553
89,80,694,16924184,5,9,1,1,4945009587
90,90,2519,16852687,4,1,4,2,7628047867
91,80,569,16664493,7,10,13,2,16533344582
92,80,1557,16685757,1,6,1,2,3143775416
93,50,16,16596587,5,2,1,0,76598813
94,80,319,16507859,7,2,15,1,5777107070
95,80,681,16365420,7,8,6,2,17478640234
96,80,31,16270131,9,2,6,0,7417624230
97,80,223,16318426,5,12,10,2,5199670980
98,80,215,16131590,6,2,15,1,10329720858
99,70,1035,16081106,11,6,10,1,2513569335
100,80,441,16094796,10,2,1,1,7983292567
